,0
0,0
1,0
2,AAPL apple 
3,CMCSA comcast
4,NVDA nvidia
5,ADP automatic data processing 
6,ILMN illumina 
7,ADSK autodesk 
8,PAYX paychex 
9,VCIT vanguard intermediate-term orate bond etf
10,GRMN garmin ltd
11,ACGL arch capital group ltd
12,AGNC agnc investment 
13,SAGE sage therapeutics 
14,AZPN aspen technology 
15,PBCT people&#39;s united financial 
16,CREE cree 
17,ZNGA zynga 
18,TNDM tandem diabetes care 
19,VEON veon ltd
20,SFIX stitch fix 
21,SFM sprouts farmers market 
22,WERN werner enterprises 
23,BRKS brooks automation 
24,JACK jack in the box 
25,AEIS advanced energy industries 
26,HTLD heartland express 
27,PBYI puma biotechnology 
28,EHTH ehealth 
29,FORM formfactor 
30,TRUP trupanion 
31,ENPH enphase energy 
32,HMHC houghton mifflin harcourt company
33,LXRX lexicon pharmaceuticals 
34,CASS cass information systems 
35,ODT odonate therapeutics 
36,AUPH aurinia pharmaceuticals 
37,ATTU attunity ltd
38,SIBN si-bone 
39,UCTT ultra clean holdings 
40,GSM ferroglobe plc
41,DGII digi international 
42,STKL sunopta 
43,SRNE sorrento therapeutics 
44,AVID avid technology 
45,ACER acer therapeutics 
46,MXWL maxwell technologies 
47,NBRV nabriva therapeutics plc
48,GSIT gsi technology 
49,OPES opes acquisition 
50,SNDX syndax pharmaceuticals 
51,VTVT vtv therapeutics 
52,ANIX anixa biosciences 
53,GNCA genocea biosciences 
54,LYTS lsi industries 
55,FUV arcimoto 
56,ARCT arcturus therapeutics ltd
57,CLSD clearside biomedical 
58,OSS one stop systems 
59,BGRN ishares global green bond etf
60,GEVO gevo 
61,AMRH ameri holdings 
62,MICT mict 
63,ESEA euroseas ltd
64,PBIO pressure biosciences 
